ts,uid,id.orig_h,id.resp_h,duration,orig_bytes,resp_bytes,history,is_incomplete_conn,log_type,hour,day_of_week,proto_udp,service_dhcp,conn_state_SHR,requests_per_window,history_entropy
1744475486.016865,CkxcaG1s5KV3P1lPOk,192.168.122.1,192.168.122.224,0.0,0.0,0.0,CcC,0,conn,16,5,False,False,False,13,0.9182958340544896
1744475491.299888,CGyUtc3BXq2eMhI478,192.168.122.1,192.168.122.224,0.0,0.0,0.0,CcC,0,conn,16,5,False,False,False,13,0.9182958340544896
1744475496.6043,ClTY75htXbubZt05l,192.168.122.1,192.168.122.224,0.0,0.0,0.0,CcC,0,conn,16,5,False,False,False,13,0.9182958340544896
1744475502.337959,CPI0HA3XkvcMnF0j4l,192.168.122.1,192.168.122.224,0.0,0.0,0.0,CcC,0,conn,16,5,False,False,False,13,0.9182958340544896
1744475508.171455,C391xB26czD2R5IHG6,192.168.122.1,192.168.122.224,0.0,0.0,0.0,CcC,0,conn,16,5,False,False,False,13,0.9182958340544896
1744475513.236863,CaXYoH2igBU4PiDjU4,192.168.122.1,192.168.122.224,0.0,0.0,0.0,CcC,0,conn,16,5,False,False,False,13,0.9182958340544896
1744475518.617389,CqC34m4WkMtonsW6n1,192.168.122.1,192.168.122.224,0.0,0.0,0.0,CcC,0,conn,16,5,False,False,False,13,0.9182958340544896
1744475523.700431,CgGZdNly9vAJJuO9l,192.168.122.1,192.168.122.224,0.0,0.0,0.0,CcC,0,conn,16,5,False,False,False,12,0.9182958340544896
1744475528.985765,CfBIWiz4goCCJUU1g,192.168.122.1,192.168.122.224,0.0,0.0,0.0,CcC,0,conn,16,5,False,False,False,12,0.9182958340544896
1744475534.612476,CMPHmApmvFtJZk4ed,192.168.122.1,192.168.122.224,0.0,0.0,0.0,CcC,0,conn,16,5,False,False,False,12,0.9182958340544896
1744475540.225095,CHIrbl2HPiK3BluVYg,192.168.122.1,192.168.122.224,0.0,0.0,0.0,CcC,0,conn,16,5,False,False,False,12,0.9182958340544896
1744475545.847628,CHsAzvR20I3aibYje,192.168.122.1,192.168.122.224,0.0,0.0,0.0,CcC,0,conn,16,5,False,False,False,12,0.9182958340544896
1744475551.764127,CQ87D82cBI09vwcU11,192.168.122.1,192.168.122.224,0.0,0.0,0.0,CcC,0,conn,16,5,False,False,False,12,0.9182958340544896
1744475557.010067,CvZ0jw3Z1Tj2BUNVCc,192.168.122.1,192.168.122.224,0.0,0.0,0.0,CcC,0,conn,16,5,False,False,False,12,0.9182958340544896
1744475562.080499,Cs8UyT2AQpr3QQ4L6f,192.168.122.1,192.168.122.224,0.0,0.0,0.0,CcC,0,conn,16,5,False,False,False,12,0.9182958340544896
